return_id;order_id
RN-220;US-2017-136679
RN-221;CA-2015-113628
RN-222;CA-2017-107825
RN-223;CA-2014-160766
RN-224;CA-2016-118311
RN-225;CA-2015-130456
RN-226;CA-2014-148950
RN-227;CA-2015-119214
RN-228;CA-2015-119907
RN-229;CA-2017-137428
RN-230;CA-2014-108861
RN-231;CA-2016-130638
RN-232;CA-2015-143238
RN-233;CA-2015-109736
RN-234;CA-2014-124688
RN-235;CA-2016-133368
RN-236;CA-2017-168193
RN-237;CA-2014-135657
RN-238;CA-2016-105081
RN-239;CA-2017-154214
RN-240;CA-2015-107678
RN-241;CA-2017-144064
RN-242;CA-2017-101700
RN-243;CA-2016-113341
RN-244;CA-2015-139731
RN-245;CA-2015-132941
RN-246;CA-2015-146262
RN-247;CA-2016-115917
RN-248;US-2016-111528
RN-249;CA-2017-142328
RN-250;CA-2015-141593
RN-251;CA-2017-121258
RN-252;CA-2014-141726
RN-253;CA-2017-167003
RN-254;US-2015-160857
RN-255;CA-2016-145261
RN-256;CA-2017-112725
RN-257;CA-2016-145919
RN-258;CA-2017-140151
RN-259;CA-2015-164882
RN-260;CA-2017-123491
RN-261;CA-2014-127012
RN-262;CA-2016-123526
RN-263;CA-2017-161557
RN-264;CA-2015-150875
RN-265;CA-2015-150770
RN-266;US-2014-140452
RN-267;CA-2015-149650
RN-268;CA-2014-100867
RN-269;CA-2017-140186
RN-270;CA-2017-156391
RN-271;CA-2015-157770
RN-272;CA-2017-140963
RN-273;CA-2017-154949
RN-274;CA-2016-166275
RN-275;US-2014-143287
RN-276;CA-2014-151162
RN-277;US-2017-103828
RN-278;CA-2014-143840
RN-279;CA-2014-160773
RN-280;CA-2017-111556
RN-281;CA-2017-140585
RN-282;CA-2014-103373
RN-283;CA-2016-159023
RN-284;CA-2016-145492
RN-285;CA-2017-118122
RN-286;CA-2014-116785
RN-287;US-2014-164763
RN-288;CA-2017-122504
RN-289;CA-2017-150910
RN-290;CA-2015-162166
RN-291;US-2016-140172
RN-292;CA-2015-101910
RN-293;CA-2017-156958
RN-294;CA-2016-105585
RN-295;CA-2016-148796
RN-296;CA-2015-149636
