order_id;order_date;ship_date;ship_mode;customer_id
CA-2016-146941;10.12.2016;13.12.2016;First Class;DL-13315
US-2015-159982;28.11.2015;04.12.2015;Standard Class;DR-12880
CA-2017-163139;01.12.2017;03.12.2017;Second Class;CC-12670
US-2017-155299;08.06.2017;12.06.2017;Standard Class;Dl-13600
US-2014-106992;19.09.2014;21.09.2014;Second Class;SB-20290
CA-2016-125318;06.06.2016;13.06.2016;Standard Class;RC-19825
CA-2015-155040;10.11.2015;15.11.2015;Standard Class;AH-10210
CA-2017-136826;16.06.2017;20.06.2017;Standard Class;CB-12535
CA-2016-111010;22.01.2016;28.01.2016;Standard Class;PG-18895
US-2017-145366;09.12.2017;13.12.2017;Standard Class;CA-12310
CA-2017-163979;28.12.2017;02.01.2018;Second Class;KH-16690
CA-2015-155334;30.07.2015;31.07.2015;First Class;HA-14920
CA-2017-118136;16.09.2017;17.09.2017;First Class;BB-10990
CA-2017-132976;13.10.2017;17.10.2017;Standard Class;AG-10495
US-2015-161991;26.09.2015;28.09.2015;Second Class;SC-20725
CA-2015-130890;02.11.2015;06.11.2015;Standard Class;JO-15280
CA-2015-130883;26.09.2015;02.10.2015;Standard Class;TB-21520
CA-2016-112697;18.12.2016;20.12.2016;Second Class;AH-10195
CA-2016-110772;20.11.2016;24.11.2016;Second Class;NZ-18565
CA-2014-111451;26.12.2014;28.12.2014;First Class;KL-16555
CA-2016-142545;28.10.2016;03.11.2016;Standard Class;JD-15895
US-2017-152380;19.11.2017;23.11.2017;Standard Class;JH-15910
CA-2015-144253;04.05.2015;09.05.2015;Second Class;AS-10225
CA-2014-130960;30.12.2014;04.01.2015;Standard Class;KB-16600
CA-2014-111003;01.06.2014;06.06.2014;Standard Class;CR-12625
CA-2017-126774;15.04.2017;17.04.2017;First Class;SH-20395
CA-2016-142902;12.09.2016;14.09.2016;Second Class;BP-11185
CA-2014-120887;27.09.2014;03.10.2014;Standard Class;TS-21205
CA-2014-167850;09.08.2014;16.08.2014;Standard Class;AG-10525
CA-2014-164259;28.12.2014;30.12.2014;First Class;SP-20860
CA-2014-164973;04.11.2014;09.11.2014;Standard Class;NM-18445
CA-2014-156601;19.09.2014;24.09.2014;Standard Class;FA-14230
CA-2016-162138;23.04.2016;27.04.2016;Standard Class;GK-14620
CA-2017-153339;03.11.2017;05.11.2017;Second Class;DJ-13510
US-2016-141544;30.08.2016;01.09.2016;First Class;PO-18850
US-2016-150147;25.04.2016;29.04.2016;Second Class;JL-15850
CA-2015-137946;01.09.2015;04.09.2015;Second Class;DB-13615
CA-2014-129924;12.07.2014;17.07.2014;Standard Class;AC-10420
CA-2015-128167;22.06.2015;26.06.2015;Second Class;KL-16645
CA-2014-122336;13.04.2014;17.04.2014;Second Class;JD-15895
US-2015-120712;20.12.2015;24.12.2015;Standard Class;CS-12130
CA-2017-169901;15.06.2017;19.06.2017;Standard Class;CC-12550
CA-2017-134306;08.07.2017;12.07.2017;Standard Class;TD-20995
CA-2016-129714;01.09.2016;03.09.2016;First Class;AB-10060
CA-2016-138520;08.04.2016;13.04.2016;Standard Class;JL-15505
CA-2016-130001;23.04.2016;28.04.2016;Standard Class;HK-14890
CA-2017-155698;08.03.2017;11.03.2017;First Class;VB-21745
CA-2017-144904;25.09.2017;01.10.2017;Standard Class;KW-16435
CA-2014-123344;24.09.2014;29.09.2014;Standard Class;JD-16060
CA-2016-155516;21.10.2016;21.10.2016;Same Day;MK-17905
CA-2017-104745;29.05.2017;04.06.2017;Standard Class;GT-14755
US-2014-119137;23.07.2014;27.07.2014;Standard Class;AG-10900
US-2016-134656;28.09.2016;01.10.2016;First Class;MM-18280
US-2017-134481;27.08.2017;01.09.2017;Standard Class;AR-10405
CA-2015-130792;28.04.2015;05.05.2015;Standard Class;RA-19915
CA-2016-134775;28.10.2016;29.10.2016;First Class;AS-10285
CA-2015-125395;26.06.2015;29.06.2015;Second Class;LA-16780
US-2015-168935;27.11.2015;02.12.2015;Standard Class;DO-13435
CA-2015-122756;03.12.2015;07.12.2015;Standard Class;DK-13225
CA-2014-115973;24.11.2014;26.11.2014;First Class;NG-18430
CA-2017-101798;11.12.2017;15.12.2017;Standard Class;MV-18190
US-2014-135972;21.09.2014;23.09.2014;Second Class;JG-15115
US-2014-134971;07.06.2014;10.06.2014;Second Class;BP-11095
CA-2017-102946;30.06.2017;05.07.2017;Standard Class;VP-21730
CA-2017-165603;17.10.2017;19.10.2017;Second Class;SS-20140
CA-2015-122259;31.10.2015;04.11.2015;Standard Class;HP-14815
CA-2016-108987;08.09.2016;10.09.2016;Second Class;AG-10675
CA-2014-113166;24.12.2014;26.12.2014;First Class;LF-17185
CA-2014-155208;16.04.2014;20.04.2014;Standard Class;SP-20650
CA-2017-117933;24.12.2017;29.12.2017;Standard Class;RF-19840
CA-2017-117457;08.12.2017;12.12.2017;Standard Class;KH-16510
CA-2017-142636;03.11.2017;07.11.2017;Standard Class;KC-16675
CA-2017-122105;24.06.2017;28.06.2017;Standard Class;CJ-12010
CA-2016-148796;14.04.2016;18.04.2016;Standard Class;PB-19150
CA-2017-154816;06.11.2017;10.11.2017;Standard Class;VB-21745
CA-2017-110478;04.03.2017;09.03.2017;Standard Class;SP-20860
CA-2014-142048;22.06.2014;25.06.2014;First Class;JE-15745
CA-2017-125388;19.10.2017;23.10.2017;Standard Class;MP-17965
CA-2017-155705;21.08.2017;23.08.2017;Second Class;NF-18385
CA-2017-149160;23.11.2017;26.11.2017;Second Class;JM-15265
CA-2014-101476;12.09.2014;13.09.2014;First Class;SD-20485
CA-2017-152275;01.10.2017;08.10.2017;Standard Class;KH-16630
US-2016-123750;15.04.2016;21.04.2016;Standard Class;RB-19795
CA-2016-127369;06.06.2016;07.06.2016;First Class;DB-13060
US-2014-150574;19.12.2014;25.12.2014;Standard Class;MK-18160
CA-2016-147375;12.06.2016;14.06.2016;Second Class;PO-19180
CA-2017-130043;15.09.2017;19.09.2017;Standard Class;BB-11545
CA-2017-157252;20.01.2017;23.01.2017;Second Class;CV-12805
CA-2016-115756;05.09.2016;07.09.2016;Second Class;PK-19075
CA-2017-154214;20.03.2017;25.03.2017;Second Class;TB-21595
CA-2016-166674;01.04.2016;03.04.2016;Second Class;RB-19360
CA-2017-147277;20.10.2017;24.10.2017;Standard Class;EB-13705
CA-2016-100153;13.12.2016;17.12.2016;Standard Class;KH-16630
US-2014-110674;12.02.2014;18.02.2014;Standard Class;SC-20095
US-2016-157945;26.09.2016;01.10.2016;Standard Class;NF-18385
CA-2015-109638;15.12.2015;22.12.2015;Standard Class;JH-15985
CA-2016-109869;22.04.2016;29.04.2016;Standard Class;TN-21040
US-2015-101399;17.01.2015;24.01.2015;Standard Class;JS-15940
CA-2017-154907;31.03.2017;04.04.2017;Standard Class;DS-13180
US-2016-100419;16.12.2016;20.12.2016;Second Class;CC-12670
CA-2015-154144;20.12.2015;24.12.2015;Standard Class;MH-17785
CA-2014-144666;09.11.2014;11.11.2014;Second Class;JP-15520
CA-2016-103891;12.07.2016;19.07.2016;Standard Class;KH-16690
CA-2016-152632;27.10.2016;02.11.2016;Standard Class;JE-15475
CA-2016-100790;26.06.2016;02.07.2016;Standard Class;JG-15805
CA-2014-134677;06.10.2014;10.10.2014;Standard Class;XP-21865
CA-2014-127691;22.07.2014;27.07.2014;Standard Class;EM-14065
CA-2017-140963;10.06.2017;13.06.2017;First Class;MT-18070
CA-2014-154627;29.10.2014;31.10.2014;First Class;SA-20830
CA-2014-133753;09.06.2014;13.06.2014;Second Class;CW-11905
CA-2014-113362;14.09.2014;19.09.2014;Standard Class;AJ-10960
CA-2016-169166;09.05.2016;14.05.2016;Standard Class;SS-20590
US-2016-120929;18.03.2016;21.03.2016;Second Class;RO-19780
CA-2015-134782;27.12.2015;31.12.2015;Standard Class;MD-17350
CA-2016-126158;25.07.2016;31.07.2016;Standard Class;SC-20095
US-2016-105578;30.05.2016;04.06.2016;Standard Class;MY-17380
CA-2017-134978;12.11.2017;15.11.2017;Second Class;EB-13705
CA-2015-145352;16.03.2015;22.03.2015;Standard Class;CM-12385
CA-2017-135307;26.11.2017;27.11.2017;First Class;LS-17245
CA-2016-106341;20.10.2016;23.10.2016;First Class;LF-17185
CA-2017-163405;21.12.2017;25.12.2017;Standard Class;BN-11515
CA-2017-127432;22.01.2017;27.01.2017;Standard Class;AD-10180
CA-2015-157812;22.03.2015;26.03.2015;Standard Class;DB-13210
CA-2017-145142;23.01.2017;25.01.2017;First Class;MC-17605
US-2016-139486;21.05.2016;23.05.2016;First Class;LH-17155
CA-2015-158792;26.12.2015;02.01.2016;Standard Class;BD-11605
CA-2017-113558;21.10.2017;26.10.2017;Standard Class;PH-18790
US-2015-138303;03.09.2015;07.09.2015;Standard Class;MG-18145
CA-2015-102848;07.11.2015;09.11.2015;Second Class;KB-16240
US-2017-129441;07.09.2017;11.09.2017;Standard Class;JC-15340
CA-2016-168753;29.05.2016;01.06.2016;Second Class;RL-19615
CA-2016-126613;10.07.2016;16.07.2016;Standard Class;AA-10375
US-2017-122637;03.09.2017;08.09.2017;Second Class;EP-13915
CA-2015-147851;03.12.2015;08.12.2015;Standard Class;MP-17470
CA-2015-134894;07.12.2015;11.12.2015;Standard Class;DK-12985
CA-2014-140795;01.02.2014;03.02.2014;First Class;BD-11500
CA-2016-136924;14.07.2016;17.07.2016;First Class;ES-14080
US-2015-120161;18.12.2015;23.12.2015;Standard Class;LM-17065
CA-2014-103849;11.05.2014;16.05.2014;Standard Class;PG-18895
CA-2017-162929;19.11.2017;22.11.2017;First Class;AS-10135
CA-2015-113173;15.11.2015;17.11.2015;Second Class;DK-13225
CA-2016-136406;15.04.2016;17.04.2016;Second Class;BD-11320
CA-2017-112774;11.09.2017;12.09.2017;First Class;RC-19960
CA-2017-101945;24.11.2017;28.11.2017;Standard Class;GT-14710
CA-2017-100650;29.06.2017;03.07.2017;Second Class;DK-13225
CA-2014-155852;03.03.2014;07.03.2014;Second Class;AJ-10945
CA-2016-113243;10.06.2016;15.06.2016;Standard Class;OT-18730
CA-2017-118731;20.11.2017;22.11.2017;Second Class;LP-17080
CA-2014-145576;14.09.2014;18.09.2014;Second Class;CA-12775
CA-2015-130736;07.12.2015;09.12.2015;First Class;JF-15490
CA-2017-137099;07.12.2017;10.12.2017;First Class;FP-14320
CA-2017-156951;01.10.2017;08.10.2017;Standard Class;EB-13840
CA-2017-164826;28.12.2017;04.01.2018;Standard Class;JF-15415
CA-2016-127250;03.11.2016;07.11.2016;Standard Class;SF-20200
CA-2015-149713;18.09.2015;22.09.2015;Second Class;TG-21640
CA-2017-118640;20.07.2017;26.07.2017;Standard Class;CS-11950
CA-2015-132906;10.09.2015;14.09.2015;Standard Class;CC-12145
CA-2017-145233;01.12.2017;05.12.2017;Standard Class;DV-13465
CA-2015-128139;03.07.2015;09.07.2015;Standard Class;BD-11725
US-2016-156986;20.03.2016;24.03.2016;Standard Class;ZC-21910
CA-2014-135405;09.01.2014;13.01.2014;Standard Class;MS-17830
CA-2014-131450;08.08.2014;15.08.2014;Standard Class;LR-16915
CA-2016-120180;14.07.2016;16.07.2016;First Class;TP-21130
US-2016-100720;16.07.2016;21.07.2016;Standard Class;CK-12205
CA-2014-149958;15.03.2014;19.03.2014;Standard Class;AS-10240
US-2014-105767;23.05.2014;27.05.2014;Standard Class;AR-10510
CA-2016-161816;28.04.2016;01.05.2016;First Class;NB-18655
CA-2016-121223;11.09.2016;13.09.2016;Second Class;GD-14590
CA-2017-138611;14.11.2017;17.11.2017;Second Class;CK-12595
CA-2017-117947;18.08.2017;23.08.2017;Second Class;NG-18355
US-2014-111171;26.12.2014;31.12.2014;Standard Class;CA-12265
CA-2015-138009;29.11.2015;03.12.2015;Standard Class;SF-20965
CA-2017-163020;15.09.2017;19.09.2017;Standard Class;MO-17800
CA-2017-153787;19.05.2017;23.05.2017;Standard Class;AT-10735
CA-2017-133431;17.12.2017;21.12.2017;Standard Class;LC-17140
US-2016-135720;11.12.2016;13.12.2016;Second Class;FM-14380
CA-2017-144694;24.09.2017;26.09.2017;Second Class;BD-11605
CA-2015-168004;04.10.2015;09.10.2015;Second Class;DJ-13420
US-2016-123470;15.08.2016;21.08.2016;Standard Class;ME-17725
CA-2016-115917;20.05.2016;25.05.2016;Standard Class;RB-19465
CA-2016-147067;18.12.2016;22.12.2016;Standard Class;JD-16150
CA-2017-167913;30.07.2017;03.08.2017;Second Class;JL-15835
CA-2017-106103;10.06.2017;15.06.2017;Standard Class;SC-20305
US-2017-127719;21.07.2017;25.07.2017;Standard Class;TW-21025
CA-2017-126221;30.12.2017;05.01.2018;Standard Class;CC-12430
CA-2016-103947;01.04.2016;08.04.2016;Standard Class;BB-10990
CA-2016-160745;11.12.2016;16.12.2016;Second Class;AR-10825
CA-2016-132661;23.10.2016;29.10.2016;Standard Class;SR-20740
CA-2017-140844;19.06.2017;23.06.2017;Standard Class;AR-10405
CA-2016-137239;22.08.2016;28.08.2016;Standard Class;CR-12730
US-2016-156097;19.09.2016;19.09.2016;Same Day;EH-14125
CA-2015-146563;24.08.2015;28.08.2015;Standard Class;CB-12025
CA-2016-123666;26.03.2016;30.03.2016;Standard Class;SP-20545
CA-2016-143308;04.11.2016;04.11.2016;Same Day;RC-19825
CA-2017-132682;08.06.2017;10.06.2017;Second Class;TH-21235
CA-2014-156314;24.12.2014;26.12.2014;First Class;RP-19390
US-2017-106663;09.06.2017;13.06.2017;Standard Class;MO-17800
CA-2017-111178;15.06.2017;22.06.2017;Standard Class;TD-20995
CA-2017-130351;05.12.2017;08.12.2017;First Class;RB-19570
US-2017-119438;18.03.2017;23.03.2017;Standard Class;CD-11980
CA-2016-164511;19.11.2016;24.11.2016;Standard Class;DJ-13630
US-2017-168116;04.11.2017;04.11.2017;Same Day;GT-14635
CA-2014-157784;05.07.2014;08.07.2014;First Class;MC-17845
CA-2017-161480;25.12.2017;29.12.2017;Standard Class;RA-19285
US-2014-117135;21.06.2014;23.06.2014;Second Class;NP-18325
CA-2015-131534;28.03.2015;02.04.2015;Standard Class;AB-10165
CA-2015-119291;14.05.2015;17.05.2015;First Class;JO-15550
CA-2017-114552;02.09.2017;08.09.2017;Standard Class;Dl-13600
CA-2016-163755;04.11.2016;08.11.2016;Second Class;AS-10285
CA-2015-142027;09.04.2015;14.04.2015;Standard Class;JK-15370
CA-2014-138527;12.09.2014;17.09.2014;Standard Class;BN-11470
CA-2014-112158;02.12.2014;04.12.2014;First Class;DP-13165
CA-2014-113887;05.04.2014;07.04.2014;First Class;TH-21550
CA-2017-146136;03.09.2017;07.09.2017;Standard Class;AP-10915
US-2017-100048;19.05.2017;24.05.2017;Standard Class;RS-19765
CA-2014-153150;01.07.2014;06.07.2014;Second Class;Dl-13600
CA-2014-130092;11.01.2014;14.01.2014;First Class;SV-20365
CA-2017-108910;24.09.2017;29.09.2017;Standard Class;KC-16540
CA-2014-104472;02.06.2014;07.06.2014;Standard Class;CK-12325
CA-2016-112942;13.02.2016;18.02.2016;Standard Class;RD-19810
CA-2016-142335;15.12.2016;19.12.2016;Standard Class;MP-17965
CA-2014-117429;07.10.2014;13.10.2014;Standard Class;MR-17545
CA-2016-114713;07.07.2016;12.07.2016;Standard Class;SC-20695
CA-2017-144113;16.09.2017;20.09.2017;Standard Class;JF-15355
US-2016-150861;03.12.2016;06.12.2016;First Class;EG-13900
CA-2017-131954;21.01.2017;25.01.2017;Standard Class;DS-13030
CA-2014-132500;08.09.2014;12.09.2014;Standard Class;GZ-14470
CA-2014-112326;04.01.2014;08.01.2014;Standard Class;PO-19195
US-2016-146710;27.08.2016;01.09.2016;Standard Class;SS-20875
CA-2014-124429;27.05.2014;27.05.2014;Same Day;MH-17785
CA-2016-150889;20.03.2016;22.03.2016;Second Class;PB-19105
CA-2017-126074;02.10.2017;06.10.2017;Standard Class;RF-19735
CA-2016-110499;07.04.2016;09.04.2016;First Class;YC-21895
CA-2015-135272;07.12.2015;12.12.2015;Standard Class;MS-17830
CA-2016-140928;18.09.2016;22.09.2016;Standard Class;NB-18655
CA-2014-106803;29.12.2014;02.01.2015;Standard Class;DC-13285
CA-2017-117240;23.07.2017;28.07.2017;Standard Class;CP-12340
CA-2017-133333;18.09.2017;22.09.2017;Standard Class;BF-11020
CA-2015-112319;31.08.2015;05.09.2015;Standard Class;AR-10510
CA-2017-126046;03.11.2017;07.11.2017;Standard Class;JC-16105
CA-2015-114923;08.02.2015;13.02.2015;Standard Class;LH-17020
CA-2014-162775;13.01.2014;15.01.2014;Second Class;CS-12250
CA-2014-106810;14.05.2014;20.05.2014;Standard Class;AJ-10795
CA-2016-157245;19.05.2016;24.05.2016;Standard Class;LE-16810
CA-2017-104220;30.01.2017;05.02.2017;Standard Class;BV-11245
CA-2014-165974;29.06.2014;06.07.2014;Standard Class;DL-12865
CA-2015-144267;21.08.2015;23.08.2015;First Class;NZ-18565
US-2015-157014;03.10.2015;06.10.2015;Second Class;BM-11785
CA-2015-154921;23.05.2015;28.05.2015;Standard Class;EA-14035
CA-2017-129567;17.03.2017;21.03.2017;Second Class;CL-12565
CA-2015-154620;12.12.2015;16.12.2015;Standard Class;LT-17110
CA-2015-115938;26.06.2015;30.06.2015;Standard Class;SA-20830
CA-2016-105256;20.05.2016;20.05.2016;Same Day;JK-15730
CA-2014-156433;20.09.2014;26.09.2014;Standard Class;ES-14020
CA-2017-151428;21.09.2017;26.09.2017;Standard Class;RH-19495
CA-2015-124653;24.12.2015;26.12.2015;First Class;DB-13120
CA-2015-101910;27.11.2015;03.12.2015;Standard Class;CD-11920
CA-2017-105809;20.02.2017;23.02.2017;First Class;HW-14935
CA-2016-136133;18.08.2016;23.08.2016;Second Class;HW-14935
CA-2016-115504;12.03.2016;17.03.2016;Standard Class;MC-18130
CA-2017-135783;22.04.2017;24.04.2017;First Class;GM-14440
CA-2014-134313;01.11.2014;07.11.2014;Standard Class;RA-19915
CA-2015-140921;03.02.2015;05.02.2015;First Class;AA-10375
CA-2014-151995;13.10.2014;15.10.2014;First Class;ZC-21910
CA-2017-143686;14.05.2017;14.05.2017;Same Day;PJ-19015
CA-2015-106565;20.03.2015;23.03.2015;First Class;BW-11110
CA-2016-149370;15.09.2016;19.09.2016;Standard Class;DB-13210
CA-2014-140858;28.06.2014;02.07.2014;Standard Class;CA-12775
CA-2017-101434;20.06.2017;27.06.2017;Standard Class;TR-21325
US-2014-102071;09.05.2014;15.05.2014;Standard Class;PG-18820
CA-2017-126956;21.08.2017;28.08.2017;Standard Class;GT-14710
CA-2017-129462;16.06.2017;21.06.2017;Second Class;JE-15745
CA-2016-165316;23.07.2016;27.07.2016;Standard Class;JB-15400
US-2014-115987;08.09.2014;13.09.2014;Second Class;LH-17020
US-2017-156083;04.11.2017;11.11.2017;Standard Class;JL-15175
US-2016-137547;07.03.2016;12.03.2016;Standard Class;EB-13705
CA-2015-100454;20.11.2015;25.11.2015;Standard Class;BM-11650
CA-2016-161669;07.11.2016;09.11.2016;First Class;EM-14095
CA-2015-114300;13.10.2015;17.10.2015;Standard Class;AF-10885
CA-2017-107503;01.01.2017;06.01.2017;Standard Class;GA-14725
CA-2014-107755;07.02.2014;12.02.2014;Standard Class;CK-12760
CA-2016-152534;20.06.2016;25.06.2016;Second Class;DP-13105
CA-2016-113747;28.05.2016;04.06.2016;Standard Class;VD-21670
CA-2016-123274;19.02.2016;24.02.2016;Standard Class;GT-14710
CA-2014-125612;03.08.2014;08.08.2014;Standard Class;BK-11260
CA-2017-161984;10.04.2017;15.04.2017;Standard Class;SJ-20125
CA-2014-133851;09.06.2014;16.06.2014;Standard Class;CM-12445
CA-2016-134474;05.01.2016;07.01.2016;Second Class;AJ-10795
CA-2014-149020;10.01.2014;15.01.2014;Standard Class;AJ-10780
CA-2016-134362;29.09.2016;02.10.2016;First Class;LS-16945
